zero,0,[ˈzɪro],0
one,1,[wʌn],1
two,2,[tu],2
three,3,[θri],3
four,4,[for],4
five,5,[faɪv],5
six,6,[sɪks],6
seven,7,[ˈsɛvən],7
eight,8,[et],8
nine,9,[naɪn],9
ten,10,[tɛn],10
eleven,11,[ɪˈlɛvən],11
twelve,12,[twɛlv],12
thirteen,13,[ˌθɝˈtin],13
fourteen,14,[ˌforˈtin],14
fifteen,15,[ˌfɪfˈtin],15
sixteen,16,[ˌsɪksˈtin],16
seventeen,17,[ˌsɛvənˈtin],17
eighteen,18,[ˌeˈtin],18
nineteen,19,[ˌnaɪnˈtin],19
twenty,20,[ˈtwɛnti],20
thirty,30,[ˈθɝti],30
forty,40,[ˈforti],40
fifty,50,[ˈfɪfti],50
sixty,60,[ˈsɪksti],60
seventy,70,[ˈsɛvənti],70
eighty,80,[ˈeti],80
ninety,90,[ˈnaɪnti],90
twenty-seven,27,[ˈtwɛnti ˈsɛvən],27
forty-four,44,[ˈforti for],44
